Seconds,Data
78842.385,571
78842.39,585
78842.395,595
78842.4,601
78842.406,610
78842.411,620
78842.416,626
78842.421,628
78842.427,634
78842.432,638
78842.437,637
78842.442,635
78842.448,636
78842.453,635
78842.458,629
78842.463,624
78842.469,622
78842.474,618
78842.479,609
78842.485,602
78842.49,598
78842.495,591
78842.5,580
78842.506,572
78842.511,567
78842.516,558
78842.521,548
78842.527,541
78842.532,536
78842.537,527
78842.542,519
78842.548,514
78842.553,510
78842.558,501
78842.563,494
78842.569,491
78842.574,488
78842.579,480
78842.584,476
78842.59,476
78842.595,473
78842.6,467
78842.605,466
78842.611,467
78842.616,464
78842.621,461
78842.626,461
78842.632,463
78842.637,462
78842.642,460
78842.647,463
78842.653,467
78842.658,466
78842.663,466
78842.669,472
78842.674,476
78842.679,476
78842.684,478
78842.69,484
78842.695,486
78842.7,486
78842.705,489
78842.711,494
78842.716,495
78842.721,494
78842.726,497
78842.732,501
78842.737,500
78842.742,499
78842.747,501
78842.753,503
78842.758,499
78842.763,497
78842.768,498
78842.774,497
78842.779,492
78842.784,490
78842.789,490
78842.795,488
78842.8,483
78842.805,482
78842.81,482
78842.816,480
78842.821,475
78842.826,475
78842.831,476
78842.837,473
78842.842,469
78842.847,470
78842.853,471
78842.858,467
78842.863,465
78842.868,468
78842.874,468
78842.879,464
78842.884,462
78842.889,465
78842.895,464
78842.9,462
78842.905,462
78842.91,465
78842.916,463
78842.921,460
78842.926,461
78842.931,463
78842.937,460
78842.942,457
78842.947,458
78842.952,460
78842.958,457
78842.963,455
78842.968,458
78842.973,459
78842.979,456
78842.984,455
78842.989,458
78842.994,458
78843.0,455
78843.005,455
78843.01,457
78843.015,456
78843.021,453
78843.026,454
78843.031,456
78843.037,454
78843.042,451
78843.047,452
78843.052,453
78843.058,450
78843.063,447
78843.068,449
78843.073,449
78843.079,446
78843.084,444
78843.089,446
78843.094,446
78843.1,442
78843.105,441
78843.11,444
78843.115,443
78843.121,441
78843.126,443
78843.131,446
78843.136,444
78843.142,442
78843.147,445
78843.152,447
78843.157,444
78843.163,442
78843.168,445
78843.173,446
78843.178,444
78843.184,444
78843.189,447
78843.194,447
78843.199,444
78843.205,445
78843.21,448
78843.215,447
78843.221,444
78843.226,446
78843.231,449
78843.236,448
78843.242,447
78843.247,450
78843.252,452
78843.257,451
78843.263,451
78843.268,455
78843.273,456
78843.278,454
78843.284,454
78843.289,458
78843.294,457
78843.299,455
78843.305,456
78843.31,459
78843.315,458
78843.32,454
78843.326,456
78843.331,458
78843.336,457
78843.341,454
78843.347,456
78843.352,459
78843.357,459
78843.362,460
78843.368,465
78843.373,469
78843.378,470
78843.384,474
78843.389,483
78843.394,489
78843.399,492
78843.405,499
78843.41,509
78843.415,515
78843.42,520
78843.426,529
78843.431,540
78843.436,546
78843.441,550
78843.447,559
78843.452,567
78843.457,570
78843.462,574
78843.468,580
78843.473,584
78843.478,582
78843.483,583
78843.489,586
78843.494,586
78843.499,581
78843.504,580
78843.51,580
78843.515,576
78843.52,570
78843.525,568
78843.531,566
78843.536,560
78843.541,552
78843.546,548
78843.552,545
78843.557,537
78843.562,530
78843.568,526
78843.573,522
78843.578,513
78843.583,507
78843.589,506
78843.594,501
78843.599,495
78843.604,491
78843.61,491
78843.615,488
78843.62,482
78843.625,480
78843.631,481
78843.636,478
78843.641,474
78843.646,475
78843.652,476
78843.657,474
78843.662,471
78843.667,473
78843.673,475
78843.678,471
78843.683,470
78843.688,473
78843.694,473
78843.699,470
78843.704,471
78843.709,474
78843.715,473
78843.72,471
78843.725,473
78843.73,476
78843.736,476
78843.741,474
78843.746,477
78843.752,482
78843.757,481
78843.762,482
78843.767,486
78843.773,488
78843.778,488
78843.783,488
78843.788,491
78843.794,492
78843.799,488
78843.804,488
78843.809,491
78843.815,489
78843.82,486
78843.825,486
78843.83,488
78843.836,486
78843.841,482
78843.846,483
78843.851,484
78843.857,482
78843.862,478
78843.867,480
78843.872,481
78843.878,477
78843.883,475
78843.888,477
78843.893,476
78843.899,472
78843.904,471
78843.909,473
78843.914,471
78843.92,468
78843.925,468
78843.93,470
78843.936,468
78843.941,465
78843.946,467
78843.951,468
78843.957,465
78843.962,463
78843.967,465
78843.972,466
78843.978,462
78843.983,462
78843.988,464
78843.993,464
78843.999,461
78844.004,462
78844.009,465
78844.014,463
78844.02,461
78844.025,463
78844.03,464
78844.035,462
78844.041,460
78844.046,461
78844.051,463
78844.056,460
78844.062,459
78844.067,461
78844.072,461
78844.077,458
78844.083,457
78844.088,460
78844.093,460
78844.098,457
78844.104,457
78844.109,460
78844.114,460
78844.119,457
78844.125,457
78844.13,460
78844.135,458
78844.141,456
78844.146,457
78844.151,459
78844.156,457
78844.162,455
78844.167,457
78844.172,458
78844.177,455
78844.183,454
78844.188,456
78844.193,456
78844.198,454
78844.204,453
78844.209,457
78844.214,457
78844.219,454
78844.225,455
78844.23,457
78844.235,456
78844.24,453
78844.246,454
78844.251,456
78844.256,453
78844.261,450
78844.267,452
78844.272,453
78844.277,450
78844.282,448
78844.288,450
78844.293,450
78844.298,448
78844.304,447
78844.309,450
78844.314,449
78844.319,447
78844.325,449
78844.33,452
78844.335,452
78844.34,450
78844.346,452
78844.351,456
78844.356,454
78844.361,452
78844.367,455
78844.372,457
78844.377,455
78844.382,453
78844.388,457
78844.393,458
78844.398,455
78844.403,454
78844.409,457
78844.414,457
78844.419,454
78844.424,455
78844.43,456
78844.435,454
78844.44,450
78844.445,451
78844.451,451
78844.456,448
78844.461,445
78844.466,446
78844.472,446
78844.477,443
78844.482,443
78844.488,447
78844.493,448
78844.498,448
78844.503,449
78844.509,456
78844.514,459
78844.519,461
78844.524,468
78844.53,476
78844.535,481
78844.54,485
78844.545,494
78844.551,503
78844.556,508
78844.561,512
78844.566,521
78844.572,529
78844.577,533
78844.582,535
78844.587,543
78844.593,548
78844.598,548
78844.603,550
78844.608,555
78844.614,556
78844.619,553
78844.624,554
78844.629,556
78844.635,554
78844.64,549
78844.645,549
78844.65,549
78844.656,545
78844.661,541
78844.666,541
78844.672,541
78844.677,535
78844.682,531
78844.687,531
78844.693,527
78844.698,521
78844.703,517
78844.708,517
78844.714,513
78844.719,507
78844.724,505
78844.729,505
78844.735,501
78844.74,497
78844.745,496
78844.75,496
78844.756,492
78844.761,487
78844.766,488
78844.771,487
78844.777,482
78844.782,479
78844.787,481
78844.792,481
78844.798,477
78844.803,476
78844.808,479
78844.813,478
78844.819,475
78844.824,476
78844.829,478
78844.834,476
78844.84,474
78844.845,475
78844.85,478
78844.856,476
78844.861,476
78844.866,479
78844.871,482
78844.877,480
78844.882,480
78844.887,484
78844.892,487
78844.898,486
78844.903,487
78844.908,492
78844.913,493
78844.919,492
78844.924,494
78844.929,497
78844.934,497
78844.94,496
78844.945,498
78844.95,501
78844.955,499
78844.961,496
78844.966,498
78844.971,499
78844.976,497
78844.982,495
78844.987,499
78844.992,499
78844.997,495
78845.003,494
78845.008,497
78845.013,496
78845.018,492
78845.024,492
78845.029,494
78845.034,492
78845.039,489
78845.045,489
78845.05,490
78845.055,486
78845.061,484
78845.066,485
78845.071,486
78845.076,482
78845.082,481
78845.087,483
78845.092,484
78845.097,480
78845.103,480
78845.108,483
78845.113,482
78845.118,478
78845.124,478
78845.129,480
78845.134,478
78845.139,475
78845.145,476
78845.15,479
78845.155,477
78845.16,474
78845.166,477
78845.171,479
78845.176,476
78845.181,474
78845.187,477
78845.192,477
78845.197,473
78845.202,472
78845.208,475
78845.213,475
78845.218,471
78845.223,471
78845.229,474
78845.234,473
78845.239,470
78845.245,472
78845.25,475
78845.255,473
78845.26,471
78845.266,474
78845.271,476
78845.276,473
78845.281,472
78845.287,475
78845.292,475
78845.297,472
78845.302,471
78845.308,474
78845.313,474
78845.318,471
78845.323,472
78845.329,476
78845.334,476
78845.339,473
78845.344,475
78845.35,478
78845.355,476
78845.36,474
78845.365,475
78845.371,477
78845.376,475
78845.381,473
78845.386,476
78845.392,477
78845.397,474
78845.402,474
78845.408,477
78845.413,476
78845.418,473
78845.423,473
78845.429,476
78845.434,474
78845.439,471
78845.444,471
78845.45,474
78845.455,471
78845.46,467
78845.465,468
78845.471,469
78845.476,465
78845.481,463
78845.486,466
78845.492,467
78845.497,466
78845.502,466
78845.507,471
78845.513,475
78845.518,475
78845.523,480
78845.528,488
78845.534,493
78845.539,495
78845.544,502
78845.549,511
78845.555,515
78845.56,520
78845.565,529
78845.57,538
78845.576,541
78845.581,547
78845.586,555
78845.592,562
78845.597,564
78845.602,568
78845.607,575
78845.613,578
78845.618,578
78845.623,580
78845.628,584
78845.634,585
78845.639,581
78845.644,581
78845.649,582
78845.655,579
78845.66,574
78845.665,572
78845.67,571
78845.676,566
78845.681,560
78845.686,560
78845.691,557
78845.697,550
78845.702,545
78845.707,545
78845.712,542
78845.718,536
78845.723,534
78845.728,533
78845.733,529
78845.739,523
78845.744,522
78845.749,521
78845.754,515
78845.76,511
78845.765,511
78845.77,511
78845.776,506
78845.781,502
78845.786,503
78845.791,502
78845.797,497
78845.802,494
78845.807,496
78845.812,496
78845.818,493
78845.823,494
78845.828,496
78845.833,496
78845.839,494
78845.844,496
78845.849,501
78845.854,501
78845.86,500
78845.865,505
78845.87,510
78845.875,510
78845.881,510
78845.886,516
78845.891,518
78845.896,517
78845.902,518
78845.907,523
78845.912,524
78845.917,522
78845.923,523
78845.928,526
78845.933,526
78845.938,524
78845.944,525
78845.949,527
78845.954,526
78845.96,523
78845.965,525
78845.97,527
78845.975,525
78845.981,524
78845.986,526
78845.991,527
78845.996,524
78846.002,522
78846.007,524
78846.012,523
78846.017,519
78846.023,518
78846.028,519
78846.033,517
78846.038,512
78846.044,512
78846.049,512
78846.054,508
78846.059,505
78846.065,505
78846.07,506
78846.075,502
78846.08,500
78846.086,502
78846.091,502
78846.096,498
78846.101,495
78846.107,497
78846.112,497
78846.117,494
78846.122,493
78846.128,496
78846.133,495
78846.138,492
78846.144,494
78846.149,496
78846.154,494
78846.159,492
78846.165,495
78846.17,497
78846.175,495
78846.18,493
78846.186,497
78846.191,499
78846.196,496
78846.201,497
78846.207,500
78846.212,501
78846.217,498
78846.222,498
78846.228,501
78846.233,500
78846.238,498
78846.243,498
78846.249,501
78846.254,499
78846.259,496
78846.264,498
78846.27,501
78846.275,499
78846.28,497
78846.285,499
78846.291,501
78846.296,498
78846.301,497
78846.306,500
78846.312,500
78846.317,496
78846.322,495
78846.328,496
78846.333,496
78846.338,491
78846.343,491
78846.349,493
78846.354,490
78846.359,488
78846.364,489
78846.37,493
78846.375,491
78846.38,490
78846.385,494
78846.391,496
78846.396,496
78846.401,499
78846.406,506
78846.412,512
78846.417,516
78846.422,522
78846.427,533
78846.433,540
78846.438,545
78846.443,556
78846.448,566
78846.454,573
78846.459,579
78846.464,588
78846.469,598
78846.475,603
78846.48,608
78846.485,615
78846.49,621
78846.496,622
78846.501,623
78846.506,628
78846.512,629
78846.517,626
78846.522,626
78846.527,626
78846.533,625
78846.538,620
78846.543,618
78846.548,618
78846.554,613
78846.559,607
78846.564,606
78846.569,604
78846.575,598
78846.58,593
78846.585,592
78846.59,590
78846.596,584
78846.601,578
78846.606,578
78846.611,574
78846.617,567
78846.622,563
78846.627,563
78846.632,558
78846.638,553
78846.643,552
78846.648,552
78846.653,549
78846.659,543
78846.664,544
78846.669,544
78846.674,541
78846.68,538
78846.685,539
78846.69,539
78846.696,535
78846.701,533
78846.706,536
78846.711,536
78846.717,533
78846.722,532
78846.727,535
78846.732,535
78846.738,532
78846.743,533
78846.748,536
78846.753,534
78846.759,532
78846.764,534
78846.769,537
78846.774,536
78846.78,534
78846.785,538
78846.79,541
78846.795,538
78846.801,538
78846.806,542
78846.811,543
78846.816,540
78846.822,540
78846.827,544
78846.832,543
78846.837,541
78846.843,543
78846.848,545
78846.853,543
78846.859,540
78846.864,541
78846.869,543
78846.874,539
78846.88,536
78846.885,538
78846.89,538
78846.895,533
78846.901,530
78846.906,532
78846.911,531
78846.916,527
78846.922,525
78846.927,527
78846.932,526
78846.937,522
78846.943,522
78846.948,524
78846.953,521
78846.958,518
78846.964,520
78846.969,521
78846.974,518
78846.979,516
78846.985,518
78846.99,519
78846.995,515
78847.0,514
78847.006,515
78847.011,515
78847.016,511
78847.021,510
78847.027,512
78847.032,512
78847.037,508
78847.043,509
78847.048,511
78847.053,509
78847.058,506
78847.064,508
78847.069,510
78847.074,508
78847.079,506
78847.085,507
78847.09,509
78847.095,507
78847.1,505
78847.106,509
78847.111,509
78847.116,506
78847.121,505
78847.127,508
78847.132,508
78847.137,505
78847.142,506
78847.148,508
78847.153,507
78847.158,504
78847.163,505
78847.169,508
78847.174,506
78847.179,504
78847.184,506
78847.19,508
78847.195,505
78847.2,504
78847.205,506
78847.211,508
78847.216,504
78847.221,503
78847.227,505
78847.232,503
78847.237,500
78847.242,501
78847.248,502
78847.253,499
78847.258,495
78847.263,495
78847.269,497
78847.274,495
78847.279,493
78847.284,497
78847.29,501
78847.295,502
78847.3,506
78847.305,515
78847.311,523
78847.316,527
78847.321,535
78847.326,546
78847.332,556
78847.337,563
78847.342,573
78847.347,586
78847.353,594
78847.358,600
78847.363,611
78847.368,622
78847.374,626
78847.379,631
78847.384,640
78847.389,646
78847.395,647
78847.4,650
78847.405,656
78847.411,658
78847.416,656
78847.421,656
78847.426,658
78847.432,656
78847.437,650
78847.442,647
78847.447,646
78847.453,640
78847.458,633
78847.463,630
78847.468,628
78847.474,621
78847.479,612
78847.484,608
78847.489,605
78847.495,596
78847.5,589
78847.505,587
78847.51,582
78847.516,574
78847.521,569
78847.526,567
78847.531,562
78847.537,556
78847.542,554
78847.547,553
78847.552,550
78847.558,545
78847.563,544
78847.568,544
78847.573,540
78847.579,537
78847.584,537
78847.589,538
78847.595,534
78847.6,531
78847.605,533
78847.61,534
78847.616,530
78847.621,529
78847.626,532
78847.631,532
78847.637,529
78847.642,530
78847.647,534
78847.652,533
78847.658,531
78847.663,533
78847.668,536
78847.673,535
78847.679,534
78847.684,537
78847.689,539
78847.694,537
78847.7,536
78847.705,540
78847.71,542
78847.715,541
78847.721,541
78847.726,546
78847.731,547
78847.736,544
78847.742,546
78847.747,548
78847.752,547
78847.758,543
78847.763,543
78847.768,545
78847.773,543
78847.779,539
78847.784,540
78847.789,540
78847.794,536
78847.8,532
78847.805,534
78847.81,533
78847.815,529
78847.821,526
78847.826,527
78847.831,525
78847.836,520
78847.842,518
78847.847,519
78847.852,516
78847.857,513
78847.863,512
78847.868,514
78847.873,510
78847.878,507
78847.884,508
78847.889,509
78847.894,506
78847.899,503
78847.905,505
78847.91,506
78847.915,502
78847.92,501
78847.926,505
78847.931,504
78847.936,500
78847.942,500
78847.947,502
78847.952,501
78847.957,499
78847.963,501
78847.968,505
78847.973,503
78847.978,502
78847.984,504
78847.989,507
78847.994,505
78847.999,504
78848.005,508
78848.01,509
78848.015,506
78848.02,506
78848.026,510
78848.031,510
78848.036,506
78848.041,507
78848.047,510
78848.052,509
78848.057,507
78848.062,506
78848.068,510
78848.073,507
78848.078,504
78848.083,505
78848.089,506
78848.094,503
78848.099,499
78848.104,500
78848.11,500
78848.115,496
78848.12,495
78848.126,497
78848.131,497
78848.136,494
78848.141,494
78848.147,496
78848.152,495
78848.157,492
78848.162,493
78848.168,495
78848.173,493
78848.178,491
78848.183,493
78848.189,495
78848.194,493
78848.199,492
78848.204,495
78848.21,496
78848.215,494
78848.22,494
78848.225,497
78848.231,498
78848.236,495
78848.241,496
78848.246,498
78848.252,497
78848.257,494
78848.262,494
78848.267,497
78848.273,494
78848.278,490
78848.283,492
78848.288,493
78848.294,491
78848.299,488
78848.304,490
78848.31,491
78848.315,487
78848.32,486
78848.325,489
78848.331,490
78848.336,486
78848.341,487
78848.346,490
78848.352,489
78848.357,485
78848.362,485
78848.367,487
78848.373,484
78848.378,481
78848.383,481
78848.388,483
78848.394,479
78848.399,477
78848.404,480
78848.409,482
78848.415,481
78848.42,482
78848.425,489
78848.43,493
78848.436,495
78848.441,501
78848.446,511
78848.451,518
78848.457,524
78848.462,535
78848.467,547
78848.472,555
78848.478,563
78848.483,575
78848.488,587
78848.494,594
78848.499,601
78848.504,612
78848.509,621
78848.515,625
78848.52,630
78848.525,638
78848.53,644
78848.536,644
78848.541,646
78848.546,651
78848.551,652
78848.557,648
78848.562,648
78848.567,648
78848.572,643
78848.578,637
78848.583,635
78848.588,632
78848.593,624
78848.599,617
78848.604,614
78848.609,609
78848.614,600
78848.62,593
78848.625,590
78848.63,584
78848.635,575
78848.641,570
78848.646,567
78848.651,561
78848.656,553
78848.662,550
78848.667,549
78848.672,544
78848.678,538
78848.683,537
78848.688,536
78848.693,531
78848.699,526
78848.704,527
78848.709,525
78848.714,521
78848.72,519
78848.725,521
78848.73,521
78848.735,518
78848.741,517
78848.746,520
78848.751,520
78848.756,517
78848.762,519
78848.767,522
78848.772,521
78848.777,520
78848.783,523
78848.788,526
78848.793,525
78848.798,525
78848.804,528
78848.809,531
78848.814,530
78848.819,529
78848.825,534
78848.83,536
78848.835,534
78848.84,536
78848.846,538
78848.851,538
78848.856,538
78848.862,540
78848.867,543
78848.872,542
78848.877,539
78848.883,542
78848.888,544
78848.893,541
78848.898,539
78848.904,541
78848.909,541
78848.914,537
78848.919,534
78848.925,535
78848.93,534
78848.935,529
78848.94,527
78848.946,528
78848.951,526
78848.956,521
78848.961,521
78848.967,522
78848.972,519
78848.977,515
78848.982,516
78848.988,517
78848.993,513
78848.998,509
78849.003,510
78849.009,510
78849.014,505
78849.019,503
78849.024,505
78849.03,504
78849.035,500
78849.04,498
78849.046,500
78849.051,498
78849.056,495
78849.061,495
78849.067,498
78849.072,497
78849.077,494
78849.082,496
78849.088,499
78849.093,497
78849.098,495
78849.103,498
78849.109,500
78849.114,497
78849.119,495
