HostTime_ns,Data
1786314503981402571,378
1786314503981931872,378
1786314503982317021,378
1786314503982705627,379
1786314503983024814,379
1786314503983340337,379
1786314503983686766,379
1786314503983996059,380
1786314503984301459,380
1786314503984613776,380
1786314503984792574,380
1786314503984950159,380
1786314503985095560,380
1786314503985237563,379
1786314503985373746,380
1786314503985532677,379
1786314503985681984,379
1786314503985859921,377
1786314503986004887,377
1786314503986141710,376
1786314503986302488,376
1786314503986424624,375
1786314503986558031,374
1786314503986671872,374
1786314503986785389,373
1786314504017978935,371
1786314504018637560,370
1786314504019361533,368
1786314504019551128,366
1786314504019828514,364
1786314504020087686,362
1786314504020338785,361
1786314504020623512,361
1786314504020906329,360
1786314504021151360,361
1786314504021382949,364
1786314504021661020,368
1786314504021920970,375
1786314504022188122,384
1786314504022436089,397
1786314504023669424,412
1786314504029665826,430
1786314504034758431,451
1786314504039686132,477
1786314504045729417,504
1786314504050841316,534
1786314504055849591,567
1786314504060748936,600
1786314504066650722,635
1786314504071698331,670
1786314504076922977,705
1786314504081911301,739
1786314504087841393,771
1786314504092680721,802
1786314504097703657,830
1786314504102741291,856
1786314504108676211,878
1786314504113889095,898
1786314504118728599,914
1786314504123775719,926
1786314504129866453,934
1786314504134677427,939
1786314504139631411,940
1786314504144837855,938
1786314504150823471,932
1786314504155706357,924
1786314504160689918,913
1786314504165701371,900
1786314504171770913,885
1786314504176699581,868
1786314504181870768,850
1786314504186766634,830
1786314504192796199,809
1786314504197900337,787
1786314504202759094,764
1786314504208721638,740
1786314504213955891,716
1786314504218721476,693
1786314504223919739,668
1786314504229946519,644
1786314504234729029,620
1786314504239814363,598
1786314504244731298,577
1786314504250955529,558
1786314504255769101,539
1786314504260965527,523
1786314504265995056,509
1786314504271701597,497
1786314504276679931,487
1786314504281804577,478
1786314504286797191,472
1786314504292893178,468
1786314504297933615,467
1786314504302691708,467
1786314504307829121,468
1786314504313965028,472
1786314504318782112,477
1786314504323802221,482
1786314504328765785,489
1786314504334712341,496
1786314504339754240,504
1786314504344743377,513
1786314504349736548,522
1786314504355808102,530
1786314504360767111,539
1786314504365745979,546
1786314504370780616,554
1786314504376678175,561
1786314504381746599,566
1786314504386766927,571
1786314504391816917,575
1786314504397738765,578
1786314504402964799,580
1786314504407952146,581
1786314504413768497,581
1786314504418763928,580
1786314504423836279,579
1786314504428740298,577
1786314504434748680,575
1786314504439884696,572
1786314504444703803,569
1786314504449860943,565
1786314504455770794,561
1786314504460699847,556
1786314504465791272,551
1786314504470817898,545
1786314504476704220,539
1786314504481813204,533
1786314504486840840,526
1786314504491845366,519
1786314504497982420,513
1786314504502888323,506
1786314504507939598,500
1786314504512679547,494
1786314504518816468,489
1786314504523779597,484
1786314504528901998,478
1786314504533977488,473
1786314504539912506,468
1786314504544895072,463
1786314504549963536,459
1786314504554779367,456
1786314504560824610,452
1786314504565994378,448
1786314504570682942,444
1786314504576613291,442
1786314504581772471,439
1786314504586686110,436
1786314504591806417,433
1786314504597770818,431
1786314504602749854,428
1786314504607805823,426
1786314504612806001,425
1786314504618769518,423
1786314504623809653,420
1786314504628805266,418
1786314504633765555,415
1786314504639747517,413
1786314504644720672,411
1786314504649691469,409
1786314504654746811,407
1786314504660805690,407
1786314504665838980,405
1786314504670817031,405
1786314504739161892,405
1786314504739596118,405
1786314504740009442,404
1786314504740371818,405
1786314504740729904,406
1786314504741056683,406
1786314504741390624,408
1786314504741761995,409
1786314504742102621,410
1786314504742426049,411
1786314504742660168,412
1786314504742882033,412
1786314504743157143,413
1786314504744612802,413
1786314504749802689,413
1786314504754781255,414
1786314504760678893,414
1786314504765888576,414
1786314504770779311,414
1786314504775839732,414
1786314504781962196,414
1786314504786808023,413
1786314504791804603,413
1786314504796914369,412
1786314504802864101,410
1786314504807966879,409
1786314504812748020,408
1786314504817718080,405
1786314504823823338,403
1786314504828770305,401
1786314504833871727,400
1786314504838781149,398
1786314504844744691,396
1786314504849822376,395
1786314504854781760,394
1786314504860105952,393
1786314504865768168,391
1786314504870778790,389
1786314504875727707,389
1786314504880676634,388
1786314504886782834,387
1786314504891807618,387
1786314504896839070,388
1786314504901857451,388
1786314504907902286,390
1786314504912957259,392
1786314504917753060,395
1786314504922845888,399
1786314504928936938,404
1786314504934010815,412
1786314504938818882,423
1786314504944761939,436
1786314504949927422,452
1786314504954727401,470
1786314504959740270,492
1786314504965973233,515
1786314504970846903,541
1786314504975741833,568
1786314504980958522,597
1786314504986845587,627
1786314504991744093,657
1786314504996758864,687
1786314505001687106,717
1786314505007807645,746
1786314505012792348,773
1786314505017646483,799
1786314505022746151,823
1786314505028895293,844
1786314505033854557,862
1786314505038770306,877
1786314505043810906,888
1786314505049770737,897
1786314505054781547,903
1786314505059806958,905
1786314505064742159,904
1786314505070763912,901
1786314505075687677,894
1786314505080861279,886
1786314505085806275,875
1786314505091782767,862
1786314505096866953,848
1786314505101632035,831
1786314505106845275,814
1786314505112827061,794
1786314505117716143,773
1786314505122665694,751
1786314505128600301,729
1786314505133696436,706
1786314505138715784,684
1786314505143745695,660
1786314505149709672,636
1786314505154671246,614
1786314505159938262,592
1786314505164774094,571
1786314505170777846,552
1786314505175749547,534
1786314505180854134,519
1786314505185657626,504
1786314505191746405,492
1786314505196764686,482
1786314505201683303,474
1786314505206736663,468
1786314505212807585,464
1786314505217795465,462
1786314505222817528,462
1786314505227882418,463
1786314505233731489,466
1786314505238809800,471
1786314505243723891,476
1786314505249006120,482
1786314505254984628,488
1786314505259658652,495
1786314505264777961,502
1786314505269808244,508
1786314505275684902,515
1786314505280804412,522
1786314505285749143,528
1786314505290809428,533
1786314505296975576,538
1786314505301770421,543
1786314505306881451,546
1786314505312596084,550
1786314505317728298,552
1786314505322810473,554
1786314505327741142,555
